Date,Open,High,Low,Close,Volume
2024-01-01,21727.75,21834.35,21680.85,21741.90,154000000
2024-01-02,21751.35,21755.60,21555.65,21665.80,263710000
2024-01-03,21661.10,21677.00,21500.35,21517.35,311930000
2024-01-04,21605.80,21685.65,21564.55,21658.60,339170000
2024-01-05,21705.75,21749.60,21629.20,21710.80,309300000
2024-01-08,21747.60,21763.95,21492.90,21513.00,231450000
2024-01-09,21653.60,21724.45,21517.85,21544.85,228570000
2024-01-10,21529.30,21641.85,21448.65,21618.70,216990000
2024-01-11,21688.00,21726.50,21593.75,21647.20,212450000
2024-01-12,21773.55,21928.25,21715.15,21894.55,294680000
2024-01-15,22053.15,22115.55,21963.55,22097.45,345540000
2024-01-16,22080.50,22124.15,21969.80,22032.30,292430000
2024-01-17,21647.25,21851.50,21550.45,21571.95,456000000
2024-01-18,21414.20,21539.40,21285.55,21462.25,387340000
2024-01-19,21615.20,21670.60,21575.00,21622.40,343060000
2024-01-20,21706.15,21720.30,21541.80,21571.80,343060000
2024-01-23,21716.70,21750.25,21192.60,21238.80,449720000
2024-01-24,21185.25,21482.35,21137.20,21453.95,407460000
2024-01-25,21454.60,21459.00,21247.05,21352.60,418140000
2024-01-29,21433.10,21763.25,21429.60,21737.60,376700000
2024-01-30,21775.75,21813.05,21501.80,21522.10,375140000
2024-01-31,21487.25,21741.35,21448.85,21725.70,410580000
2024-02-01,21780.65,21832.95,21658.75,21697.45,332540000
2024-02-02,21812.75,22126.80,21805.55,21853.80,442790000
2024-02-05,21921.05,21964.30,21726.95,21771.70,440850000
2024-02-06,21825.20,21951.40,21737.55,21929.40,370970000
2024-02-07,22045.05,22053.30,21860.15,21930.50,346260000
2024-02-08,22009.65,22011.05,21665.30,21717.95,491070000
2024-02-09,21727.00,21804.45,21629.90,21782.50,349220000
2024-02-12,21800.80,21831.70,21574.75,21616.05,287440000
2024-02-13,21664.30,21766.80,21543.35,21743.25,365790000
2024-02-14,21578.15,21870.85,21530.20,21840.05,359120000
2024-02-15,21906.55,21953.85,21794.80,21910.75,345390000
2024-02-16,22020.30,22068.65,21968.95,22040.70,343890000
2024-02-19,22103.45,22186.65,22021.05,22122.25,343890000
2024-02-20,22099.20,22215.60,22045.85,22196.95,295710000
2024-02-21,22248.85,22249.40,21997.95,22055.05,364550000
2024-02-22,22081.55,22252.50,21875.25,22217.45,343500000
2024-02-23,22290.00,22297.50,22186.10,22212.70,225980000
2024-02-26,22169.20,22202.15,22075.15,22122.05,207780000
2024-02-27,22090.20,22218.25,22085.65,22198.35,252200000
2024-02-28,22214.10,22229.15,21915.85,21951.15,202950000
2024-02-29,21935.20,22060.55,21860.65,21982.80,360170000
2024-03-01,22048.30,22353.30,22047.75,22338.75,351500000
2024-03-02,22406.95,22419.55,22367.05,22378.40,35760000
